date,BID_open,BID_high,BID_low,BID_close,BID_volume_millions
2024-04-01 00:00:00,1.07932,1.07987,1.07901,1.07912,4469.7099609375
2024-04-01 01:00:00,1.07911,1.07945,1.07856,1.07867,3012.780029296875
2024-04-01 02:00:00,1.07866,1.07895,1.07848,1.07877,3293.949951171875
2024-04-01 03:00:00,1.07878,1.07913,1.07847,1.07903,1781.3299560546875
2024-04-01 04:00:00,1.07902,1.07911,1.07841,1.07867,2709.760009765625
2024-04-01 05:00:00,1.07866,1.07872,1.07827,1.07853,1669.449951171875
2024-04-01 06:00:00,1.0785,1.07904,1.07844,1.07865,3049.739990234375
2024-04-01 07:00:00,1.07865,1.07921,1.07829,1.07859,4091.830078125
2024-04-01 08:00:00,1.07859,1.07915,1.07831,1.07897,5106.4501953125
2024-04-01 09:00:00,1.07897,1.07908,1.07856,1.0786,4419.259765625
2024-04-01 10:00:00,1.0786,1.07866,1.07796,1.07813,3703.3701171875
2024-04-01 11:00:00,1.07813,1.07875,1.07798,1.07839,3997.080078125
2024-04-01 12:00:00,1.0784,1.07857,1.07771,1.07817,7555.18994140625
2024-04-01 13:00:00,1.07817,1.07829,1.07718,1.07734,10897.650390625
2024-04-01 14:00:00,1.07734,1.07734,1.07394,1.07444,24149.2109375
2024-04-01 15:00:00,1.07443,1.07454,1.07309,1.07326,11368.2001953125
2024-04-01 16:00:00,1.07327,1.07368,1.07312,1.07365,5643.4599609375
2024-04-01 17:00:00,1.07366,1.0744,1.07366,1.07417,5748.2998046875
2024-04-01 18:00:00,1.07416,1.07427,1.07368,1.07376,4961.10009765625
2024-04-01 19:00:00,1.07376,1.07427,1.07374,1.07418,5766.18017578125
2024-04-01 20:00:00,1.07418,1.07432,1.07414,1.0743,2787.080078125
2024-04-01 21:00:00,1.07428,1.07446,1.07374,1.07437,2354.659912109375
2024-04-01 22:00:00,1.07436,1.07437,1.07398,1.07398,1417.2099609375
2024-04-01 23:00:00,1.07398,1.07398,1.07355,1.07372,4510.3701171875
2024-04-02 00:00:00,1.0737,1.07388,1.07309,1.07371,8768.8701171875
2024-04-02 01:00:00,1.07372,1.07382,1.07302,1.0734,7273.5400390625
2024-04-02 02:00:00,1.0734,1.07353,1.07295,1.07348,3655.2900390625
2024-04-02 03:00:00,1.07349,1.07362,1.07296,1.073,2450.070068359375
2024-04-02 04:00:00,1.07302,1.0734,1.07293,1.07331,2908.669921875
2024-04-02 05:00:00,1.0733,1.07349,1.07259,1.07265,5232.22021484375
2024-04-02 06:00:00,1.07266,1.0732,1.07246,1.07286,10211.740234375
2024-04-02 07:00:00,1.07286,1.07427,1.0726,1.07418,9490.5400390625
2024-04-02 08:00:00,1.07419,1.07419,1.07264,1.07313,13782.4404296875
2024-04-02 09:00:00,1.07313,1.0743,1.0731,1.0742,6375.58984375
2024-04-02 10:00:00,1.0742,1.07457,1.07386,1.07451,6730.27978515625
2024-04-02 11:00:00,1.07451,1.07535,1.07429,1.07515,10232.8896484375
2024-04-02 12:00:00,1.07515,1.07561,1.07455,1.07489,17582.330078125
2024-04-02 13:00:00,1.07489,1.07683,1.07479,1.07648,16451.880859375
2024-04-02 14:00:00,1.07648,1.0779,1.07592,1.07657,27414.1796875
2024-04-02 15:00:00,1.07658,1.07718,1.07643,1.07689,11219.5595703125
2024-04-02 16:00:00,1.07689,1.07702,1.07647,1.07681,6805.330078125
2024-04-02 17:00:00,1.07682,1.07687,1.07644,1.07672,4334.02001953125
2024-04-02 18:00:00,1.07673,1.07684,1.07622,1.07632,4423.669921875
2024-04-02 19:00:00,1.07635,1.07682,1.07601,1.0768,4635.27001953125
2024-04-02 20:00:00,1.07679,1.07696,1.07657,1.07691,2244.68994140625
2024-04-02 21:00:00,1.07691,1.07734,1.07689,1.07734,2511.340087890625
2024-04-02 22:00:00,1.0773,1.07733,1.0768,1.07682,1711.7900390625
2024-04-02 23:00:00,1.07682,1.07687,1.07666,1.07679,2252.929931640625
2024-04-03 00:00:00,1.07678,1.07716,1.07659,1.07688,6030.22998046875
2024-04-03 01:00:00,1.07688,1.07735,1.07658,1.07721,5172.85986328125
2024-04-03 02:00:00,1.07722,1.07748,1.07716,1.07742,3022.14990234375
2024-04-03 03:00:00,1.07742,1.07793,1.07741,1.07772,3341.260009765625
2024-04-03 04:00:00,1.07773,1.0778,1.07745,1.07746,3919.360107421875
2024-04-03 05:00:00,1.07747,1.07773,1.0774,1.07753,4597.7099609375
2024-04-03 06:00:00,1.07754,1.07759,1.07671,1.07692,7245.43994140625
2024-04-03 07:00:00,1.07693,1.07723,1.0764,1.07705,10951.7998046875
2024-04-03 08:00:00,1.07704,1.07773,1.07698,1.07716,5527.72998046875
2024-04-03 09:00:00,1.07714,1.07747,1.07651,1.07677,8259.4599609375
2024-04-03 10:00:00,1.07676,1.07766,1.07662,1.07755,6466.66015625
2024-04-03 11:00:00,1.07756,1.07849,1.07756,1.07838,6772.97021484375
2024-04-03 12:00:00,1.0784,1.07864,1.0773,1.07781,19067.9609375
2024-04-03 13:00:00,1.07781,1.07927,1.07778,1.07889,18155.66015625
2024-04-03 14:00:00,1.07892,1.0824,1.07892,1.08228,31086.80078125
2024-04-03 15:00:00,1.08228,1.08305,1.08193,1.08266,15515.6298828125
2024-04-03 16:00:00,1.08268,1.08362,1.08202,1.08305,15063.0703125
2024-04-03 17:00:00,1.08306,1.08342,1.08255,1.08321,7810.91015625
2024-04-03 18:00:00,1.0832,1.08368,1.08315,1.08348,4022.97998046875
2024-04-03 19:00:00,1.08347,1.08349,1.08292,1.08334,5956.97021484375
2024-04-03 20:00:00,1.08334,1.08366,1.08324,1.08356,2093.340087890625
2024-04-03 21:00:00,1.08356,1.08356,1.08312,1.08334,3906.22998046875
2024-04-03 22:00:00,1.08333,1.08382,1.08333,1.08376,1227.8599853515625
2024-04-03 23:00:00,1.08376,1.08407,1.08362,1.0838,3731.39990234375
2024-04-04 00:00:00,1.0838,1.08434,1.08347,1.0843,5634.3798828125
2024-04-04 01:00:00,1.0843,1.08439,1.084,1.08407,5297.97998046875
2024-04-04 02:00:00,1.08408,1.08444,1.08381,1.08428,3287.610107421875
2024-04-04 03:00:00,1.08428,1.08434,1.08401,1.08425,4304.35986328125
2024-04-04 04:00:00,1.08425,1.08447,1.08425,1.08426,3891.830078125
2024-04-04 05:00:00,1.08427,1.08464,1.0841,1.08418,4517.89990234375
2024-04-04 06:00:00,1.08419,1.08463,1.08389,1.08398,14172.2998046875
2024-04-04 07:00:00,1.08399,1.08583,1.08391,1.08571,14098.0595703125
2024-04-04 08:00:00,1.08569,1.08626,1.08508,1.08619,10232.75
2024-04-04 09:00:00,1.08617,1.08654,1.08554,1.08586,6025.35986328125
2024-04-04 10:00:00,1.08585,1.08616,1.08556,1.08597,5980.33984375
2024-04-04 11:00:00,1.08597,1.08622,1.08519,1.08527,8529.349609375
2024-04-04 12:00:00,1.08529,1.08703,1.08507,1.08696,11058.2998046875
2024-04-04 13:00:00,1.08696,1.08765,1.08641,1.08697,14906.1796875
2024-04-04 14:00:00,1.08701,1.0876,1.08666,1.08676,13310.0400390625
2024-04-04 15:00:00,1.08675,1.08688,1.08622,1.08648,7340.47021484375
2024-04-04 16:00:00,1.08649,1.0867,1.0858,1.08588,3945.7099609375
2024-04-04 17:00:00,1.08588,1.08618,1.08581,1.086,3966.8701171875
2024-04-04 18:00:00,1.086,1.086,1.08465,1.085,19439.419921875
