date,BID_open,BID_high,BID_low,BID_close,BID_volume_millions
2024-04-01 00:00:00,1.35216,1.35243,1.35145,1.3523,3393.06005859375
2024-04-01 01:00:00,1.3523,1.35294,1.35209,1.35286,2920.530029296875
2024-04-01 02:00:00,1.35288,1.35313,1.35247,1.35266,2594.719970703125
2024-04-01 03:00:00,1.35267,1.35318,1.35238,1.35244,2246.989990234375
2024-04-01 04:00:00,1.35244,1.35323,1.35239,1.35287,877.489990234375
2024-04-01 05:00:00,1.35289,1.35349,1.35288,1.35319,789.1400146484375
2024-04-01 06:00:00,1.35318,1.35339,1.35239,1.35261,1383.2900390625
2024-04-01 07:00:00,1.35261,1.35302,1.35248,1.3529,1974.3399658203125
2024-04-01 08:00:00,1.3529,1.35325,1.35248,1.35286,2104.570068359375
2024-04-01 09:00:00,1.35286,1.35297,1.35248,1.35294,2332.159912109375
2024-04-01 10:00:00,1.35294,1.35402,1.35283,1.35392,3336.080078125
2024-04-01 11:00:00,1.35393,1.35511,1.35373,1.35504,1800.18994140625
2024-04-01 12:00:00,1.35505,1.35695,1.35492,1.35587,6624.89013671875
2024-04-01 13:00:00,1.35586,1.35648,1.35444,1.35529,6995.4599609375
2024-04-01 14:00:00,1.35548,1.35847,1.35526,1.35714,7373.2001953125
2024-04-01 15:00:00,1.35716,1.35845,1.35708,1.35809,3791.610107421875
2024-04-01 16:00:00,1.35806,1.35828,1.35716,1.35763,2832.5
2024-04-01 17:00:00,1.35764,1.35839,1.35763,1.35783,1995.3800048828125
2024-04-01 18:00:00,1.35784,1.35861,1.35783,1.35824,1492.7900390625
2024-04-01 19:00:00,1.35824,1.35835,1.35737,1.35739,2001.77001953125
2024-04-01 20:00:00,1.35741,1.35757,1.35689,1.35693,1624.4200439453125
2024-04-01 21:00:00,1.35689,1.35726,1.35667,1.35712,751.02001953125
2024-04-01 22:00:00,1.35713,1.35746,1.35697,1.35737,520.5399780273438
2024-04-01 23:00:00,1.35736,1.35771,1.35708,1.35737,1120.260009765625
2024-04-02 00:00:00,1.35739,1.35773,1.35715,1.35743,1982.3399658203125
2024-04-02 01:00:00,1.35744,1.35785,1.35694,1.35708,2487.669921875
2024-04-02 02:00:00,1.35707,1.35784,1.35702,1.35735,2044.8499755859375
2024-04-02 03:00:00,1.35733,1.35798,1.35717,1.35796,1055.4200439453125
2024-04-02 04:00:00,1.35796,1.35824,1.35791,1.35794,682.9299926757812
2024-04-02 05:00:00,1.35795,1.3583,1.35782,1.35822,1515.8199462890625
2024-04-02 06:00:00,1.35822,1.35839,1.35732,1.35732,2819.4599609375
2024-04-02 07:00:00,1.35736,1.35761,1.35661,1.35684,3937.050048828125
2024-04-02 08:00:00,1.35685,1.35692,1.35581,1.35638,4485.43017578125
2024-04-02 09:00:00,1.35643,1.35646,1.3556,1.35607,3275.8798828125
2024-04-02 10:00:00,1.35609,1.35668,1.35602,1.35623,2602.669921875
2024-04-02 11:00:00,1.35623,1.35682,1.356,1.35616,2926.43994140625
2024-04-02 12:00:00,1.35614,1.35733,1.35598,1.3571,3570.659912109375
2024-04-02 13:00:00,1.35711,1.35832,1.35637,1.35723,6338.25
2024-04-02 14:00:00,1.35724,1.35832,1.35614,1.35766,8407.98046875
2024-04-02 15:00:00,1.35764,1.35827,1.35703,1.35716,3898.840087890625
2024-04-02 16:00:00,1.35714,1.35781,1.35678,1.35709,2385.909912109375
2024-04-02 17:00:00,1.35708,1.3577,1.35694,1.35729,1979.72998046875
2024-04-02 18:00:00,1.3573,1.35758,1.35702,1.35736,2395.610107421875
2024-04-02 19:00:00,1.35735,1.3574,1.35676,1.35719,2412.1201171875
2024-04-02 20:00:00,1.35722,1.35738,1.35641,1.35657,1272.6099853515625
2024-04-02 21:00:00,1.35644,1.35662,1.35578,1.35627,1246.5
2024-04-02 22:00:00,1.35627,1.35654,1.35612,1.35627,1016.739990234375
2024-04-02 23:00:00,1.35628,1.35664,1.35627,1.35644,1253.739990234375
2024-04-03 00:00:00,1.35644,1.35704,1.3564,1.35703,1234.760009765625
2024-04-03 01:00:00,1.35704,1.35742,1.35679,1.35719,2288.0400390625
2024-04-03 02:00:00,1.3572,1.3573,1.35673,1.35705,1825.93994140625
2024-04-03 03:00:00,1.35703,1.35704,1.35616,1.3563,2726.840087890625
2024-04-03 04:00:00,1.3563,1.35678,1.35599,1.35677,1501.18994140625
2024-04-03 05:00:00,1.35675,1.3571,1.35665,1.35702,1613.0999755859375
2024-04-03 06:00:00,1.35702,1.35791,1.357,1.35728,3427.919921875
2024-04-03 07:00:00,1.35728,1.35796,1.35708,1.35786,2742.909912109375
2024-04-03 08:00:00,1.35785,1.35886,1.35766,1.35799,3129.110107421875
2024-04-03 09:00:00,1.358,1.35807,1.35691,1.35744,3730.989990234375
2024-04-03 10:00:00,1.35743,1.358,1.35728,1.35744,1548.4000244140625
2024-04-03 11:00:00,1.35744,1.35756,1.35626,1.35637,2224.050048828125
2024-04-03 12:00:00,1.35637,1.35716,1.35622,1.35674,5172.7099609375
2024-04-03 13:00:00,1.35674,1.35723,1.35481,1.35492,5660.06005859375
2024-04-03 14:00:00,1.35494,1.35494,1.35134,1.35174,9409.259765625
2024-04-03 15:00:00,1.35173,1.35257,1.3511,1.35226,5363.3798828125
2024-04-03 16:00:00,1.35224,1.35372,1.35209,1.35301,6975.35986328125
2024-04-03 17:00:00,1.353,1.35341,1.35229,1.35258,3361.35009765625
2024-04-03 18:00:00,1.35259,1.35315,1.35229,1.35297,2427.6298828125
2024-04-03 19:00:00,1.35297,1.35377,1.35291,1.35323,3581.530029296875
2024-04-03 20:00:00,1.35323,1.35325,1.35253,1.35255,1404.56005859375
2024-04-03 21:00:00,1.35254,1.35282,1.35159,1.35277,1275.800048828125
2024-04-03 22:00:00,1.35278,1.35283,1.35243,1.35261,781.1500244140625
2024-04-03 23:00:00,1.35262,1.35272,1.35204,1.35238,1841.760009765625
2024-04-04 00:00:00,1.35237,1.35274,1.35164,1.35173,3744.22998046875
2024-04-04 01:00:00,1.35173,1.35196,1.35146,1.35177,2969.8798828125
2024-04-04 02:00:00,1.35176,1.35218,1.35147,1.35163,3007.090087890625
2024-04-04 03:00:00,1.35162,1.35181,1.3513,1.35149,1771.199951171875
2024-04-04 04:00:00,1.35149,1.35158,1.35114,1.35151,1271.8800048828125
2024-04-04 05:00:00,1.35151,1.35151,1.35102,1.35139,1368.47998046875
2024-04-04 06:00:00,1.35137,1.35138,1.35082,1.35109,2807.449951171875
2024-04-04 07:00:00,1.35112,1.35119,1.35031,1.35115,4118.5
2024-04-04 08:00:00,1.35116,1.35119,1.35031,1.3504,1985.8699951171875
2024-04-04 09:00:00,1.3504,1.35051,1.34992,1.35009,2592.8701171875
2024-04-04 10:00:00,1.35009,1.3503,1.34977,1.34982,2370.7099609375
2024-04-04 11:00:00,1.34982,1.35035,1.34979,1.3502,1786.0400390625
2024-04-04 12:00:00,1.35018,1.35034,1.34811,1.34858,5832.33984375
2024-04-04 13:00:00,1.34856,1.34933,1.34778,1.34869,5129.0498046875
2024-04-04 14:00:00,1.34866,1.34902,1.34775,1.34867,5158.97998046875
2024-04-04 15:00:00,1.34869,1.34976,1.34866,1.3495,3031.8701171875
2024-04-04 16:00:00,1.3495,1.35014,1.34932,1.35004,1535.25
2024-04-04 17:00:00,1.35005,1.35093,1.34996,1.35092,2064.989990234375
2024-04-04 18:00:00,1.35092,1.35423,1.3509,1.3538,8533.2802734375
2024-04-04 19:00:00,1.35381,1.35587,1.3538,1.35526,8852.66015625
2024-04-04 20:00:00,1.35524,1.35527,1.35393,1.35416,1845.239990234375
2024-04-04 21:00:00,1.35411,1.3543,1.35344,1.35412,1506.7900390625
2024-04-04 22:00:00,1.35414,1.35486,1.35389,1.35459,1831.449951171875
2024-04-04 23:00:00,1.35459,1.35496,1.35427,1.35434,2580.97998046875
2024-04-05 00:00:00,1.35433,1.35512,1.35398,1.35471,3960.510009765625
2024-04-05 01:00:00,1.35471,1.35705,1.35461,1.35701,3674.43994140625
2024-04-05 02:00:00,1.35702,1.35777,1.35681,1.35745,3566.10009765625
2024-04-05 03:00:00,1.35744,1.35764,1.35697,1.35703,2322.719970703125
2024-04-05 04:00:00,1.35702,1.35733,1.35693,1.35709,1235.6300048828125
2024-04-05 05:00:00,1.3571,1.35719,1.35637,1.35649,1521.1800537109375
2024-04-05 06:00:00,1.35649,1.35721,1.35629,1.35671,2845.22998046875
2024-04-05 07:00:00,1.35674,1.35677,1.35577,1.35602,3357.60009765625
2024-04-05 08:00:00,1.35604,1.35663,1.3557,1.35613,2407.43994140625
2024-04-05 09:00:00,1.35616,1.35635,1.35497,1.35562,2798.77001953125
2024-04-05 10:00:00,1.35561,1.35587,1.35531,1.35567,2003.760009765625
2024-04-05 11:00:00,1.35567,1.35626,1.35567,1.35588,2320.340087890625
2024-04-05 12:00:00,1.3559,1.36325,1.35539,1.36281,15929.5400390625
2024-04-05 13:00:00,1.36281,1.3647,1.36209,1.36366,13909.2998046875
2024-04-05 14:00:00,1.36366,1.36445,1.36001,1.36013,11001.3896484375
2024-04-05 15:00:00,1.36016,1.36064,1.35807,1.35815,6825.9501953125
2024-04-05 16:00:00,1.35812,1.35887,1.35745,1.35849,4261.60009765625
2024-04-05 17:00:00,1.35845,1.35914,1.35804,1.35851,3620.080078125
2024-04-05 18:00:00,1.35851,1.35924,1.35811,1.35897,5497.33984375
2024-04-05 19:00:00,1.35896,1.35933,1.35871,1.35895,4379.0400390625
2024-04-05 20:00:00,1.35899,1.35912,1.35866,1.35882,3121.0
2024-04-05 21:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-05 22:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-05 23:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 00:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 01:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 02:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 03:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 04:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 05:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 06:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 07:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 08:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 09:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 10:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 11:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 12:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 13:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 14:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 15:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 16:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 17:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 18:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 19:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 20:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 21:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 22:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-06 23:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 00:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 01:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 02:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 03:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 04:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 05:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 06:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 07:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 08:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 09:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 10:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 11:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 12:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 13:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 14:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 15:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 16:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 17:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 18:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 19:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 20:00:00,1.35882,1.35882,1.35882,1.35882,0.0
2024-04-07 21:00:00,1.35908,1.35936,1.35863,1.35936,758.0499877929688
2024-04-07 22:00:00,1.35936,1.36043,1.35921,1.36009,1372.0899658203125
2024-04-07 23:00:00,1.36009,1.36054,1.35964,1.36038,1444.8699951171875
2024-04-08 00:00:00,1.36039,1.36162,1.36036,1.36111,3513.739990234375
2024-04-08 01:00:00,1.36114,1.36124,1.35964,1.35973,3832.77001953125
2024-04-08 02:00:00,1.35974,1.35983,1.35836,1.35866,4097.35986328125
2024-04-08 03:00:00,1.35867,1.36035,1.35864,1.36015,3047.110107421875
2024-04-08 04:00:00,1.36014,1.36042,1.35998,1.36011,1848.5999755859375
2024-04-08 05:00:00,1.36008,1.36039,1.35952,1.36026,3510.550048828125
2024-04-08 06:00:00,1.36025,1.36046,1.35946,1.35999,4504.52001953125
2024-04-08 07:00:00,1.35998,1.36054,1.35907,1.35944,4611.9501953125
2024-04-08 08:00:00,1.35944,1.3602,1.35875,1.3598,5913.27978515625
2024-04-08 09:00:00,1.35979,1.36008,1.35924,1.35968,3335.81005859375
2024-04-08 10:00:00,1.35968,1.36006,1.35868,1.35873,3136.72998046875
2024-04-08 11:00:00,1.35873,1.35972,1.3586,1.3596,3688.85009765625
2024-04-08 12:00:00,1.3596,1.3598,1.35795,1.35823,5867.68017578125
2024-04-08 13:00:00,1.35823,1.35852,1.3569,1.35836,8842.7099609375
2024-04-08 14:00:00,1.35837,1.35994,1.35816,1.3583,8461.58984375
2024-04-08 15:00:00,1.35829,1.35884,1.35744,1.35843,6109.68994140625
2024-04-08 16:00:00,1.35846,1.35938,1.35799,1.35827,4123.580078125
2024-04-08 17:00:00,1.35828,1.35847,1.35726,1.35764,2812.02001953125
2024-04-08 18:00:00,1.35764,1.35781,1.3572,1.35759,2040.75
2024-04-08 19:00:00,1.35761,1.35788,1.35723,1.3577,3659.239990234375
2024-04-08 20:00:00,1.35768,1.35768,1.35698,1.35713,2459.179931640625
2024-04-08 21:00:00,1.35705,1.35752,1.35697,1.35744,1624.0799560546875
2024-04-08 22:00:00,1.35746,1.35746,1.35698,1.35699,576.739990234375
2024-04-08 23:00:00,1.35701,1.35713,1.35682,1.35705,1650.3599853515625
2024-04-09 00:00:00,1.35703,1.35731,1.35682,1.35725,2555.949951171875
2024-04-09 01:00:00,1.35723,1.35776,1.35696,1.35775,3787.580078125
2024-04-09 02:00:00,1.35776,1.35819,1.35718,1.35808,1916.550048828125
2024-04-09 03:00:00,1.35806,1.35847,1.35796,1.35826,1344.989990234375
2024-04-09 04:00:00,1.35824,1.35824,1.35749,1.35776,2294.64990234375
2024-04-09 05:00:00,1.35775,1.35807,1.3575,1.35764,1718.31005859375
2024-04-09 06:00:00,1.35764,1.35807,1.35701,1.35792,3039.639892578125
2024-04-09 07:00:00,1.3579,1.35815,1.35759,1.3579,2993.860107421875
2024-04-09 08:00:00,1.35792,1.35828,1.3571,1.35728,2586.93994140625
2024-04-09 09:00:00,1.35729,1.35746,1.35637,1.35669,3445.1298828125
2024-04-09 10:00:00,1.3567,1.35695,1.35599,1.35665,3850.090087890625
2024-04-09 11:00:00,1.35665,1.35791,1.35659,1.35758,3448.8798828125
2024-04-09 12:00:00,1.3576,1.35789,1.35611,1.35649,5976.27978515625
2024-04-09 13:00:00,1.35651,1.35682,1.35466,1.35648,6842.43994140625
2024-04-09 14:00:00,1.35645,1.35982,1.3554,1.35921,10023.58984375
2024-04-09 15:00:00,1.3592,1.35983,1.35785,1.35831,7991.39013671875
2024-04-09 16:00:00,1.35829,1.35854,1.35758,1.35844,3321.60009765625
2024-04-09 17:00:00,1.35845,1.35873,1.35792,1.35873,3866.070068359375
2024-04-09 18:00:00,1.35873,1.35901,1.35791,1.35824,2382.8798828125
2024-04-09 19:00:00,1.35824,1.35889,1.35709,1.35717,3959.35009765625
2024-04-09 20:00:00,1.35717,1.35726,1.35678,1.35702,1524.3800048828125
2024-04-09 21:00:00,1.35696,1.35728,1.35625,1.35714,1030.52001953125
2024-04-09 22:00:00,1.35712,1.35724,1.35697,1.35717,704.6300048828125
2024-04-09 23:00:00,1.35713,1.35739,1.35713,1.35729,672.6099853515625
2024-04-10 00:00:00,1.35726,1.35727,1.35663,1.35664,3163.5
2024-04-10 01:00:00,1.35661,1.35723,1.3564,1.35642,2829.889892578125
2024-04-10 02:00:00,1.35647,1.35693,1.35614,1.3566,2474.949951171875
2024-04-10 03:00:00,1.35658,1.35698,1.35637,1.35692,2237.510009765625
2024-04-10 04:00:00,1.35694,1.35703,1.35672,1.35694,2788.5400390625
2024-04-10 05:00:00,1.35694,1.3571,1.3564,1.35693,2216.489990234375
2024-04-10 06:00:00,1.35691,1.35708,1.35589,1.35602,3295.800048828125
2024-04-10 07:00:00,1.35604,1.35663,1.35582,1.35622,3273.739990234375
2024-04-10 08:00:00,1.35621,1.35681,1.35613,1.35632,3282.300048828125
2024-04-10 09:00:00,1.35632,1.35701,1.35622,1.3565,3206.52001953125
2024-04-10 10:00:00,1.35653,1.35666,1.35556,1.35558,3566.300048828125
2024-04-10 11:00:00,1.35564,1.3565,1.35564,1.35637,2452.85009765625
2024-04-10 12:00:00,1.35638,1.36514,1.35587,1.3648,18368.689453125
2024-04-10 13:00:00,1.3648,1.36777,1.36376,1.36534,21747.25
2024-04-10 14:00:00,1.36528,1.36823,1.3642,1.36728,15611.3701171875
2024-04-10 15:00:00,1.3673,1.36958,1.36712,1.36906,11716.7001953125
2024-04-10 16:00:00,1.36904,1.37007,1.36861,1.36888,7413.580078125
2024-04-10 17:00:00,1.36889,1.37022,1.36723,1.36765,12064.4501953125
2024-04-10 18:00:00,1.36775,1.36948,1.36701,1.36921,7001.72998046875
2024-04-10 19:00:00,1.36921,1.36928,1.36745,1.36774,5377.7099609375
2024-04-10 20:00:00,1.36775,1.36836,1.36767,1.36803,2263.02001953125
2024-04-10 21:00:00,1.36804,1.3682,1.36728,1.36807,1877.0799560546875
2024-04-10 22:00:00,1.36807,1.36855,1.36807,1.36843,999.739990234375
2024-04-10 23:00:00,1.36844,1.36892,1.36842,1.36883,1818.0999755859375
2024-04-11 00:00:00,1.36883,1.36933,1.36853,1.36874,3063.080078125
2024-04-11 01:00:00,1.36872,1.369,1.36813,1.36836,3598.030029296875
2024-04-11 02:00:00,1.36837,1.36866,1.36792,1.36815,3365.7900390625
2024-04-11 03:00:00,1.36815,1.36836,1.3676,1.36794,3007.8798828125
2024-04-11 04:00:00,1.36797,1.36811,1.36763,1.36766,2894.0
2024-04-11 05:00:00,1.36765,1.36785,1.36741,1.36782,5025.919921875
2024-04-11 06:00:00,1.36783,1.36951,1.36783,1.36914,3259.800048828125
2024-04-11 07:00:00,1.36911,1.36911,1.36774,1.36802,7082.43994140625
2024-04-11 08:00:00,1.368,1.36865,1.36728,1.36854,6017.52001953125
2024-04-11 09:00:00,1.36854,1.36912,1.36825,1.36879,5522.2099609375
2024-04-11 10:00:00,1.36881,1.36925,1.36856,1.36859,4779.6298828125
2024-04-11 11:00:00,1.36861,1.36915,1.36824,1.36912,4963.080078125
2024-04-11 12:00:00,1.36913,1.3696,1.36604,1.36697,14639.3701171875
2024-04-11 13:00:00,1.36697,1.36936,1.36629,1.36927,15373.9296875
2024-04-11 14:00:00,1.36925,1.37244,1.36923,1.37166,13772.6796875
2024-04-11 15:00:00,1.37166,1.37254,1.37059,1.37062,8109.47021484375
2024-04-11 16:00:00,1.37058,1.37082,1.36984,1.37025,6264.5498046875
2024-04-11 17:00:00,1.37027,1.37075,1.36799,1.36817,6363.58984375
2024-04-11 18:00:00,1.36816,1.36848,1.36737,1.36846,3036.739990234375
2024-04-11 19:00:00,1.36844,1.36845,1.36764,1.36822,2762.510009765625
2024-04-11 20:00:00,1.36821,1.36892,1.36804,1.36884,1273.25
2024-04-11 21:00:00,1.36874,1.36908,1.36851,1.36903,871.6400146484375
2024-04-11 22:00:00,1.36902,1.36902,1.36823,1.36861,753.4000244140625
2024-04-11 23:00:00,1.36861,1.36873,1.36832,1.36868,1340.6199951171875
2024-04-12 00:00:00,1.36868,1.36916,1.36833,1.36856,2568.080078125
2024-04-12 01:00:00,1.36854,1.36893,1.36816,1.36847,4055.739990234375
2024-04-12 02:00:00,1.36847,1.36894,1.36838,1.36894,1937.97998046875
2024-04-12 03:00:00,1.36894,1.37023,1.36891,1.37008,1528.22998046875
2024-04-12 04:00:00,1.37008,1.37082,1.36999,1.3708,1589.260009765625
2024-04-12 05:00:00,1.37077,1.37091,1.3704,1.37088,1886.3599853515625
2024-04-12 06:00:00,1.37089,1.37233,1.3706,1.37217,4975.4501953125
2024-04-12 07:00:00,1.37215,1.37283,1.37204,1.3723,7234.14990234375
2024-04-12 08:00:00,1.37229,1.37364,1.37207,1.37361,4982.33984375
2024-04-12 09:00:00,1.3736,1.37418,1.37318,1.37323,4611.8798828125
2024-04-12 10:00:00,1.37323,1.37501,1.37317,1.37483,4815.60009765625
2024-04-12 11:00:00,1.37484,1.37517,1.37376,1.37463,4646.64013671875
2024-04-12 12:00:00,1.37463,1.37708,1.37434,1.37633,9389.669921875
2024-04-12 13:00:00,1.37633,1.37651,1.37408,1.37509,11720.4296875
2024-04-12 14:00:00,1.37509,1.37711,1.37473,1.37564,11979.9296875
2024-04-12 15:00:00,1.37568,1.37645,1.37469,1.37573,10240.759765625
2024-04-12 16:00:00,1.37571,1.37752,1.37544,1.3773,8628.26953125
2024-04-12 17:00:00,1.3773,1.37788,1.37644,1.37693,5931.22998046875
2024-04-12 18:00:00,1.37696,1.37839,1.37644,1.37827,4849.330078125
2024-04-12 19:00:00,1.37826,1.37869,1.37731,1.37762,5662.75
2024-04-12 20:00:00,1.37761,1.37783,1.37679,1.37715,3269.2099609375
2024-04-12 21:00:00,1.37715,1.37715,1.37715,1.37715,0.0
2024-04-12 22:00:00,1.37715,1.37715,1.37715,1.37715,0.0
2024-04-12 23:00:00,1.37715,1.37715,1.37715,1.37715,0.0
2024-04-13 00:00:00,1.37715,1.37715,1.37715,1.37715,0.0
2024-04-13 01:00:00,1.37715,1.37715,1.37715,1.37715,0.0
2024-04-13 02:00:00,1.37715,1.37715,1.37715,1.37715,0.0
2024-04-13 03:00:00,1.37715,1.37715,1.37715,1.37715,0.0
