date,open,high,low,close,volume,vwap,transactions
2024-04-28 21:00:00,1.24827,1.24908,1.24811,1.24898,83.0,1.249,83
2024-04-28 22:00:00,1.24993,1.25002,1.24984,1.25002,204.0,1.25,204
2024-04-28 23:00:00,1.25003,1.251,1.24989,1.25093,1890.0,1.2504,1890
2024-04-29 00:00:00,1.25091,1.2517,1.2506,1.25151,4211.0,1.2512,4211
2024-04-29 01:00:00,1.25152,1.25232,1.2511,1.25213,7095.0,1.2517,7095
2024-04-29 02:00:00,1.25214,1.2528,1.2519,1.25261,5572.0,1.2524,5572
2024-04-29 03:00:00,1.2526,1.25273,1.252,1.25222,3846.0,1.2524,3846
2024-04-29 04:00:00,1.25218,1.2549,1.252,1.25413,10007.0,1.2537,10007
2024-04-29 05:00:00,1.25413,1.2548,1.2533,1.25351,8534.0,1.2541,8534
2024-04-29 06:00:00,1.2535,1.25393,1.2521,1.25218,7543.0,1.2531,7543
2024-04-29 07:00:00,1.25219,1.25334,1.2513,1.25297,11672.0,1.2525,11672
2024-04-29 08:00:00,1.25297,1.254,1.2511,1.25183,9649.0,1.2528,9649
2024-04-29 09:00:00,1.25186,1.25363,1.2506,1.2529,8071.0,1.252,8071
2024-04-29 10:00:00,1.25312,1.25359,1.2525,1.25298,6707.0,1.253,6707
2024-04-29 11:00:00,1.25298,1.2541,1.2525,1.25316,7017.0,1.2533,7017
2024-04-29 12:00:00,1.25317,1.2544,1.2526,1.25296,9506.0,1.2537,9506
2024-04-29 13:00:00,1.25298,1.25323,1.2513,1.25199,10681.0,1.2523,10681
2024-04-29 14:00:00,1.25206,1.25492,1.2519,1.25481,10155.0,1.2535,10155
2024-04-29 15:00:00,1.25477,1.25549,1.2542,1.25508,8432.0,1.255,8432
2024-04-29 16:00:00,1.25508,1.2569,1.2549,1.25631,8823.0,1.2563,8823
2024-04-29 17:00:00,1.2563,1.25692,1.2558,1.25619,6485.0,1.2565,6485
2024-04-29 18:00:00,1.25617,1.2565,1.2554,1.25631,5924.0,1.256,5924
2024-04-29 19:00:00,1.25631,1.25631,1.2551,1.25608,6428.0,1.2558,6428
2024-04-29 20:00:00,1.2561,1.2565,1.2558,1.2562,3780.0,1.2562,3780
2024-04-29 21:00:00,1.2562,1.2563,1.2548,1.2561,1697.0,1.256,1697
2024-04-29 22:00:00,1.25594,1.2566,1.2558,1.2559,2297.0,1.2561,2297
2024-04-29 23:00:00,1.25597,1.25631,1.2557,1.25588,2773.0,1.2561,2773
2024-04-30 00:00:00,1.25587,1.2561,1.2552,1.25547,5123.0,1.2556,5123
2024-04-30 01:00:00,1.25546,1.25582,1.2547,1.2549,5709.0,1.2553,5709
2024-04-30 02:00:00,1.25491,1.255,1.2543,1.25482,4689.0,1.2547,4689
