date,open,high,low,close,volume,vwap,transactions
2024-04-28 21:00:00,0.5945,0.59484,0.5936,0.59382,519.0,0.5942,519
2024-04-28 22:00:00,0.59435,0.59437,0.59428,0.59431,108.0,0.5943,108
2024-04-28 23:00:00,0.59432,0.59475,0.5941,0.59472,950.0,0.5945,950
2024-04-29 00:00:00,0.59473,0.59507,0.5938,0.59492,3215.0,0.5946,3215
2024-04-29 01:00:00,0.59495,0.59612,0.5945,0.59601,6518.0,0.5955,6518
2024-04-29 02:00:00,0.59602,0.59672,0.5955,0.5963,4813.0,0.5963,4813
2024-04-29 03:00:00,0.5963,0.5964,0.5956,0.596,3331.0,0.5961,3331
2024-04-29 04:00:00,0.59619,0.59821,0.5958,0.597,9028.0,0.5975,9028
2024-04-29 05:00:00,0.59736,0.59772,0.5968,0.59724,7079.0,0.5974,7079
2024-04-29 06:00:00,0.59723,0.59751,0.5956,0.59593,5800.0,0.5969,5800
2024-04-29 07:00:00,0.59594,0.5968,0.5954,0.59648,8454.0,0.5964,8454
2024-04-29 08:00:00,0.59648,0.59701,0.5956,0.59638,5800.0,0.5965,5800
2024-04-29 09:00:00,0.59637,0.59763,0.5959,0.59746,5178.0,0.5968,5178
2024-04-29 10:00:00,0.5971,0.59751,0.5967,0.59732,3693.0,0.5972,3693
2024-04-29 11:00:00,0.59736,0.59798,0.5969,0.5974,4357.0,0.5975,4357
2024-04-29 12:00:00,0.59742,0.59787,0.5961,0.59654,4929.0,0.5972,4929
2024-04-29 13:00:00,0.59654,0.59689,0.5957,0.59623,6348.0,0.5964,6348
2024-04-29 14:00:00,0.59624,0.59702,0.5956,0.59691,5858.0,0.5965,5858
2024-04-29 15:00:00,0.59691,0.59735,0.5965,0.59715,4645.0,0.597,4645
2024-04-29 16:00:00,0.59716,0.59829,0.5968,0.59792,4733.0,0.5978,4733
2024-04-29 17:00:00,0.59794,0.59844,0.5975,0.59798,4094.0,0.5981,4094
2024-04-29 18:00:00,0.598,0.59814,0.5972,0.59798,3755.0,0.5979,3755
2024-04-29 19:00:00,0.59794,0.59801,0.5968,0.59796,4069.0,0.5976,4069
2024-04-29 20:00:00,0.59796,0.59805,0.5973,0.5973,1610.0,0.5979,1610
2024-04-29 21:00:00,0.5966,0.5979,0.5953,0.59761,1303.0,0.5974,1303
2024-04-29 22:00:00,0.59761,0.59791,0.5972,0.59768,1534.0,0.5976,1534
2024-04-29 23:00:00,0.59769,0.59781,0.5966,0.59697,1859.0,0.5975,1859
2024-04-30 00:00:00,0.59696,0.59729,0.5962,0.59681,4245.0,0.5969,4245
2024-04-30 01:00:00,0.59684,0.59729,0.5957,0.59604,5058.0,0.5967,5058
2024-04-30 02:00:00,0.59605,0.59607,0.5952,0.59578,3775.0,0.5958,3775
2024-04-30 03:00:00,0.59575,0.59584,0.5943,0.5949,3265.0,0.5951,3265
2024-04-30 04:00:00,0.59493,0.59507,0.5944,0.59487,2258.0,0.5948,2258
2024-04-30 05:00:00,0.59484,0.5949,0.5929,0.59353,3474.0,0.594,3474
2024-04-30 06:00:00,0.59354,0.59394,0.5926,0.5939,4953.0,0.5934,4953
2024-04-30 07:00:00,0.59389,0.59405,0.5932,0.59389,4316.0,0.5938,4316
2024-04-30 08:00:00,0.59389,0.5943,0.5929,0.59425,3602.0,0.5937,3602
2024-04-30 09:00:00,0.59424,0.59508,0.5939,0.5946,4290.0,0.5947,4290
2024-04-30 10:00:00,0.59489,0.59529,0.5944,0.59481,3343.0,0.5949,3343
2024-04-30 11:00:00,0.59482,0.59483,0.594,0.59455,3379.0,0.5946,3379
2024-04-30 12:00:00,0.59458,0.59473,0.5912,0.59169,8135.0,0.593,8135
2024-04-30 13:00:00,0.5917,0.59248,0.5904,0.59095,8252.0,0.5917,8252
2024-04-30 14:00:00,0.59094,0.59227,0.58987,0.59158,9049.0,0.5916,9049
2024-04-30 15:00:00,0.59159,0.59198,0.5903,0.59096,6218.0,0.5913,6218
2024-04-30 16:00:00,0.59096,0.59121,0.5898,0.59046,4822.0,0.5906,4822
2024-04-30 17:00:00,0.59045,0.5906,0.5897,0.5903,4139.0,0.5903,4139
2024-04-30 18:00:00,0.59032,0.5905,0.5892,0.5897,3365.0,0.59,3365
2024-04-30 19:00:00,0.58969,0.59001,0.5888,0.58923,3330.0,0.5895,3330
2024-04-30 20:00:00,0.5892,0.58936,0.5882,0.5884,2502.0,0.5889,2502
2024-04-30 21:00:00,0.58867,0.5896,0.5836,0.58887,1484.0,0.5889,1484
2024-04-30 22:00:00,0.589,0.58903,0.5873,0.58765,2861.0,0.5882,2861
2024-04-30 23:00:00,0.58766,0.58841,0.5872,0.5877,2742.0,0.5879,2742
2024-05-01 00:00:00,0.58771,0.58845,0.5873,0.58836,3484.0,0.5881,3484
2024-05-01 01:00:00,0.58838,0.58893,0.588,0.58892,3043.0,0.5886,3043
2024-05-01 02:00:00,0.58891,0.58892,0.5882,0.58869,2174.0,0.5887,2174
2024-05-01 03:00:00,0.58866,0.5889,0.5879,0.58848,1668.0,0.5885,1668
2024-05-01 04:00:00,0.58843,0.58843,0.58843,0.58843,3.0,0.5884,3
2024-05-01 05:00:00,0.58896,0.58911,0.5884,0.5887,761.0,0.5889,761
2024-05-01 06:00:00,0.58886,0.58897,0.5878,0.5882,2897.0,0.5886,2897
2024-05-01 07:00:00,0.58838,0.58874,0.5878,0.58865,3198.0,0.5884,3198
2024-05-01 08:00:00,0.58867,0.589,0.588,0.58896,2782.0,0.5887,2782
2024-05-01 09:00:00,0.58899,0.58923,0.5884,0.589,3452.0,0.5889,3452
2024-05-01 10:00:00,0.58904,0.58921,0.5884,0.58885,3039.0,0.5889,3039
2024-05-01 11:00:00,0.58884,0.58958,0.5884,0.58944,2739.0,0.5891,2739
2024-05-01 12:00:00,0.58945,0.5901,0.5891,0.58976,5335.0,0.5897,5335
2024-05-01 13:00:00,0.58975,0.59028,0.58791,0.58961,5348.0,0.5898,5348
2024-05-01 14:00:00,0.58978,0.59062,0.58768,0.5899,8293.0,0.59,8293
2024-05-01 15:00:00,0.59016,0.59054,0.5896,0.59008,4602.0,0.5902,4602
2024-05-01 16:00:00,0.59007,0.59008,0.5893,0.58968,3536.0,0.5898,3536
2024-05-01 17:00:00,0.58971,0.5902,0.58704,0.5902,3499.0,0.5897,3499
2024-05-01 18:00:00,0.5899,0.59395,0.58878,0.59349,13119.0,0.5913,13119
2024-05-01 19:00:00,0.59352,0.59374,0.5904,0.59078,10102.0,0.5921,10102
2024-05-01 20:00:00,0.59076,0.59365,0.5904,0.59289,6548.0,0.5923,6548
2024-05-01 21:00:00,0.59266,0.5928,0.58915,0.59225,1417.0,0.5921,1417
2024-05-01 22:00:00,0.59254,0.59342,0.59159,0.59323,1082.0,0.5931,1082
2024-05-02 02:00:00,0.5928,0.59312,0.5921,0.5929,3400.0,0.5927,3400
2024-05-02 03:00:00,0.59289,0.59297,0.592,0.59254,3353.0,0.5925,3353
2024-05-02 04:00:00,0.59252,0.5929,0.5921,0.5927,3076.0,0.5926,3076
2024-05-02 05:00:00,0.59269,0.59343,0.5922,0.59325,3348.0,0.5929,3348
2024-05-02 06:00:00,0.59326,0.59387,0.5925,0.59351,6172.0,0.5934,6172
2024-05-02 07:00:00,0.5931,0.59474,0.5931,0.59384,6332.0,0.594,6332
2024-05-02 08:00:00,0.59386,0.59416,0.5929,0.5934,6011.0,0.5936,6011
2024-05-02 09:00:00,0.59339,0.59409,0.5925,0.59303,4919.0,0.5933,4919
2024-05-02 10:00:00,0.59302,0.59304,0.5918,0.592,4848.0,0.5925,4848
2024-05-02 11:00:00,0.59235,0.59298,0.5917,0.59294,4739.0,0.5925,4739
2024-05-02 12:00:00,0.59295,0.59412,0.59147,0.59288,7353.0,0.5933,7353
2024-05-02 13:00:00,0.59287,0.59325,0.5916,0.59228,8602.0,0.5927,8602
2024-05-02 14:00:00,0.59225,0.59308,0.5912,0.5928,9145.0,0.5924,9145
2024-05-02 15:00:00,0.5928,0.59425,0.5924,0.59406,6672.0,0.5935,6672
2024-05-02 16:00:00,0.59408,0.59521,0.5935,0.59491,5700.0,0.5944,5700
2024-05-02 17:00:00,0.59495,0.5957,0.5944,0.59542,4741.0,0.5952,4741
2024-05-02 18:00:00,0.59543,0.59678,0.595,0.59674,4361.0,0.596,4361
2024-05-02 19:00:00,0.59675,0.59675,0.5956,0.59608,4342.0,0.5962,4342
2024-05-02 20:00:00,0.59609,0.59631,0.5955,0.5958,2475.0,0.596,2475
2024-05-02 21:00:00,0.5958,0.5975,0.59018,0.59614,1649.0,0.5955,1649
2024-05-02 22:00:00,0.59613,0.59654,0.59457,0.5964,489.0,0.5962,489
2024-05-02 23:00:00,0.596,0.5965,0.5958,0.59632,2381.0,0.5963,2381
2024-05-03 00:00:00,0.59633,0.59696,0.5953,0.59688,4124.0,0.5961,4124
2024-05-03 01:00:00,0.59694,0.59789,0.5964,0.59746,5447.0,0.5972,5447
2024-05-03 02:00:00,0.59745,0.59745,0.5961,0.59655,4169.0,0.5969,4169
2024-05-03 03:00:00,0.59654,0.59691,0.5961,0.59687,3300.0,0.5967,3300
2024-05-03 04:00:00,0.59687,0.597,0.5961,0.59678,1439.0,0.5967,1439
2024-05-03 05:00:00,0.59677,0.59772,0.5964,0.59743,2919.0,0.5972,2919
2024-05-03 06:00:00,0.59741,0.59741,0.596,0.59647,4686.0,0.5968,4686
2024-05-03 07:00:00,0.59645,0.5975,0.5959,0.59722,4842.0,0.5967,4842
2024-05-03 08:00:00,0.59721,0.59812,0.5968,0.59804,4429.0,0.5977,4429
2024-05-03 09:00:00,0.59803,0.59822,0.5974,0.59791,3686.0,0.5979,3686
2024-05-03 10:00:00,0.59792,0.59817,0.5974,0.59816,3667.0,0.5979,3667
2024-05-03 11:00:00,0.59817,0.59872,0.5978,0.59845,3777.0,0.5984,3777
2024-05-03 12:00:00,0.59843,0.60442,0.59159,0.60373,10640.0,0.6022,10640
2024-05-03 13:00:00,0.60374,0.60411,0.59995,0.6023,11643.0,0.603,11643
2024-05-03 14:00:00,0.60258,0.60439,0.6,0.60137,12724.0,0.6014,12724
2024-05-03 15:00:00,0.60139,0.60254,0.6009,0.60186,7483.0,0.6018,7483
2024-05-03 16:00:00,0.60187,0.60211,0.6006,0.60117,4931.0,0.6014,4931
2024-05-03 17:00:00,0.60118,0.60148,0.6005,0.60132,3328.0,0.6011,3328
2024-05-03 18:00:00,0.60131,0.60167,0.601,0.60162,3184.0,0.6014,3184
2024-05-03 19:00:00,0.60158,0.6019,0.6009,0.60133,3324.0,0.6016,3324
2024-05-03 20:00:00,0.6013,0.60134,0.60028,0.60101,1701.0,0.6011,1701
2024-05-05 21:00:00,0.6009,0.60108,0.6001,0.60076,322.0,0.6008,322
2024-05-05 22:00:00,0.60058,0.60128,0.60022,0.60088,236.0,0.6008,236
2024-05-05 23:00:00,0.60132,0.60132,0.6003,0.60065,963.0,0.6009,963
2024-05-06 00:00:00,0.60059,0.60074,0.5996,0.60044,3763.0,0.6004,3763
2024-05-06 01:00:00,0.60047,0.60113,0.5999,0.6008,5710.0,0.6006,5710
2024-05-06 02:00:00,0.60081,0.60118,0.6,0.60055,3792.0,0.6007,3792
2024-05-06 03:00:00,0.60056,0.6008,0.5997,0.60004,3129.0,0.6002,3129
2024-05-06 04:00:00,0.60005,0.60009,0.5993,0.59992,1265.0,0.5998,1265
2024-05-06 05:00:00,0.59993,0.6003,0.5994,0.60023,3248.0,0.6,3248
2024-05-06 06:00:00,0.60022,0.60127,0.5998,0.60105,3728.0,0.6006,3728
2024-05-06 07:00:00,0.60106,0.60178,0.6007,0.60133,4020.0,0.6014,4020
2024-05-06 08:00:00,0.60136,0.60203,0.6006,0.60183,3782.0,0.6016,3782
2024-05-06 09:00:00,0.60186,0.60195,0.6012,0.6017,2934.0,0.6017,2934
2024-05-06 10:00:00,0.60192,0.60237,0.6014,0.60187,3577.0,0.602,3577
2024-05-06 11:00:00,0.60185,0.60216,0.6014,0.60216,2964.0,0.602,2964
2024-05-06 12:00:00,0.60217,0.60318,0.6017,0.60272,4285.0,0.6026,4285
2024-05-06 13:00:00,0.60273,0.6028,0.6015,0.6017,4686.0,0.6023,4686
2024-05-06 14:00:00,0.60191,0.60221,0.6007,0.60111,4212.0,0.6018,4212
2024-05-06 15:00:00,0.60112,0.60129,0.6005,0.6011,3481.0,0.601,3481
2024-05-06 16:00:00,0.60123,0.60129,0.6004,0.60115,3273.0,0.6009,3273
2024-05-06 17:00:00,0.60115,0.60144,0.6007,0.60137,3019.0,0.6012,3019
2024-05-06 18:00:00,0.60136,0.60151,0.6009,0.60132,2498.0,0.6013,2498
2024-05-06 19:00:00,0.60129,0.60139,0.6004,0.60088,2936.0,0.6009,2936
2024-05-06 20:00:00,0.60087,0.60112,0.60005,0.60041,1473.0,0.6009,1473
2024-05-06 21:00:00,0.60073,0.6012,0.59928,0.60095,1205.0,0.6008,1205
2024-05-06 22:00:00,0.60083,0.60106,0.6005,0.6006,323.0,0.6009,323
2024-05-07 00:00:00,0.60135,0.60234,0.6008,0.60219,2432.0,0.6017,2432
2024-05-07 01:00:00,0.60219,0.60248,0.6006,0.60118,5034.0,0.6016,5034
2024-05-07 02:00:00,0.6012,0.60122,0.6002,0.60073,4041.0,0.6008,4041
2024-05-07 03:00:00,0.60074,0.60148,0.6003,0.60142,2998.0,0.601,2998
2024-05-07 04:00:00,0.6012,0.60167,0.6002,0.60095,3947.0,0.6009,3947
2024-05-07 05:00:00,0.60096,0.60143,0.6005,0.601,4696.0,0.6011,4696
2024-05-07 06:00:00,0.60097,0.60102,0.5996,0.6005,5079.0,0.6003,5079
2024-05-07 07:00:00,0.60051,0.60103,0.6001,0.60077,4951.0,0.6007,4951
2024-05-07 08:00:00,0.60074,0.60097,0.5999,0.60094,4413.0,0.6006,4413
2024-05-07 09:00:00,0.60093,0.60105,0.5997,0.60029,4240.0,0.6006,4240
2024-05-07 10:00:00,0.6,0.60082,0.5998,0.60074,3677.0,0.6005,3677
2024-05-07 11:00:00,0.60073,0.60124,0.6003,0.60083,4161.0,0.6009,4161
2024-05-07 12:00:00,0.60081,0.60174,0.6003,0.6015,4661.0,0.6012,4661
2024-05-07 13:00:00,0.60153,0.60187,0.6009,0.60134,5838.0,0.6015,5838
2024-05-07 14:00:00,0.60131,0.60205,0.601,0.60181,5037.0,0.6017,5037
2024-05-07 15:00:00,0.60181,0.60192,0.6007,0.60098,4342.0,0.6014,4342
2024-05-07 16:00:00,0.601,0.60137,0.6003,0.60073,3818.0,0.601,3818
2024-05-07 17:00:00,0.60073,0.60086,0.5997,0.60003,3928.0,0.6004,3928
2024-05-07 18:00:00,0.60002,0.60007,0.5992,0.59982,3670.0,0.5997,3670
2024-05-07 19:00:00,0.5998,0.60029,0.5994,0.60022,3181.0,0.6,3181
2024-05-07 20:00:00,0.60023,0.60028,0.5997,0.6001,1698.0,0.6001,1698
2024-05-07 21:00:00,0.6001,0.6012,0.59516,0.6,1452.0,0.6001,1452
2024-05-07 22:00:00,0.60006,0.60019,0.5994,0.5999,2207.0,0.5997,2207
2024-05-07 23:00:00,0.59993,0.59993,0.5992,0.59963,1684.0,0.5996,1684
2024-05-08 00:00:00,0.59958,0.60023,0.5988,0.59932,3693.0,0.5997,3693
2024-05-08 01:00:00,0.59935,0.5995,0.5982,0.59857,4682.0,0.5989,4682
2024-05-08 02:00:00,0.59856,0.59889,0.598,0.5984,3404.0,0.5985,3404
2024-05-08 03:00:00,0.5988,0.59902,0.5983,0.5987,2746.0,0.5988,2746
2024-05-08 04:00:00,0.59898,0.5994,0.5984,0.5992,2467.0,0.599,2467
2024-05-08 05:00:00,0.59919,0.59932,0.5985,0.59887,2783.0,0.599,2783
