date,open,high,low,close,volume,vwap,transactions
2024-04-28 21:00:00,1.36706,1.36706,1.36616,1.36647,298.0,1.3666,298
2024-04-28 22:00:00,1.36637,1.3664,1.36626,1.36626,74.0,1.3663,74
2024-04-28 23:00:00,1.36628,1.36635,1.3653,1.36555,911.0,1.3659,911
2024-04-29 00:00:00,1.36554,1.36595,1.3649,1.36526,3262.0,1.3655,3262
2024-04-29 01:00:00,1.36526,1.3658,1.3646,1.36488,5889.0,1.3653,5889
2024-04-29 02:00:00,1.36487,1.36511,1.364,1.36447,4718.0,1.3646,4718
2024-04-29 03:00:00,1.36449,1.36503,1.3643,1.36489,3367.0,1.3647,3367
2024-04-29 04:00:00,1.3649,1.36501,1.3629,1.36382,6896.0,1.3638,6896
2024-04-29 05:00:00,1.36381,1.36476,1.3634,1.36432,5404.0,1.3642,5404
2024-04-29 06:00:00,1.36433,1.36573,1.364,1.36571,4861.0,1.3649,4861
2024-04-29 07:00:00,1.3657,1.36599,1.365,1.3656,6613.0,1.3656,6613
2024-04-29 08:00:00,1.36562,1.36632,1.3648,1.3656,5451.0,1.3656,5451
2024-04-29 09:00:00,1.36572,1.36618,1.3649,1.3654,4607.0,1.3657,4607
2024-04-29 10:00:00,1.36546,1.36556,1.3649,1.36529,3671.0,1.3653,3671
2024-04-29 11:00:00,1.36529,1.36537,1.3643,1.36519,3893.0,1.365,3893
2024-04-29 12:00:00,1.3652,1.3668,1.3647,1.36595,4873.0,1.3657,4873
2024-04-29 13:00:00,1.36597,1.36752,1.3654,1.36699,6684.0,1.3664,6684
2024-04-29 14:00:00,1.36704,1.36768,1.3646,1.36499,6313.0,1.3666,6313
2024-04-29 15:00:00,1.36498,1.36569,1.3644,1.36513,5614.0,1.3652,5614
2024-04-29 16:00:00,1.36508,1.36523,1.3641,1.36507,4872.0,1.3647,4872
2024-04-29 17:00:00,1.36506,1.36564,1.3645,1.36562,4287.0,1.3651,4287
2024-04-29 18:00:00,1.36563,1.3663,1.3652,1.36602,5077.0,1.3658,5077
2024-04-29 19:00:00,1.36603,1.36727,1.3658,1.3662,5992.0,1.3666,5992
2024-04-29 20:00:00,1.36622,1.36622,1.3656,1.36601,2278.0,1.3659,2278
2024-04-29 21:00:00,1.36601,1.3672,1.36142,1.36616,1986.0,1.366,1986
2024-04-29 22:00:00,1.36619,1.3666,1.3657,1.3662,1591.0,1.3662,1591
2024-04-29 23:00:00,1.36638,1.36676,1.366,1.3665,1872.0,1.3664,1872
2024-04-30 00:00:00,1.36673,1.36719,1.366,1.36678,3311.0,1.3667,3311
2024-04-30 01:00:00,1.36676,1.36742,1.3661,1.36734,3997.0,1.3667,3997
2024-04-30 02:00:00,1.36733,1.3679,1.367,1.3675,3607.0,1.3675,3607
2024-04-30 03:00:00,1.3672,1.36822,1.3672,1.36798,3128.0,1.3679,3128
2024-04-30 04:00:00,1.368,1.36837,1.3676,1.368,2000.0,1.3681,2000
2024-04-30 05:00:00,1.36809,1.36952,1.3678,1.3692,3536.0,1.3688,3536
2024-04-30 06:00:00,1.36939,1.3701,1.3688,1.36936,4555.0,1.3696,4555
2024-04-30 07:00:00,1.3694,1.36954,1.3685,1.36922,5039.0,1.3691,5039
2024-04-30 08:00:00,1.36919,1.36996,1.369,1.3696,3944.0,1.3695,3944
2024-04-30 09:00:00,1.36957,1.3696,1.3679,1.3684,4369.0,1.3685,4369
2024-04-30 10:00:00,1.36854,1.3689,1.368,1.36848,3610.0,1.3685,3610
2024-04-30 11:00:00,1.3682,1.36933,1.3682,1.3691,3692.0,1.3689,3692
2024-04-30 12:00:00,1.36909,1.37362,1.36674,1.37322,8797.0,1.371,8797
2024-04-30 13:00:00,1.37326,1.3755,1.3717,1.37451,9835.0,1.3735,9835
2024-04-30 14:00:00,1.37485,1.37543,1.3724,1.3739,10287.0,1.374,10287
2024-04-30 15:00:00,1.37389,1.37533,1.3733,1.3745,7572.0,1.3746,7572
2024-04-30 16:00:00,1.37479,1.37609,1.3743,1.3755,6023.0,1.3754,6023
2024-04-30 17:00:00,1.37547,1.37598,1.3749,1.37533,5055.0,1.3755,5055
2024-04-30 18:00:00,1.37531,1.37656,1.3748,1.37609,4450.0,1.3757,4450
2024-04-30 19:00:00,1.37612,1.37675,1.3754,1.37673,4282.0,1.376,4282
2024-04-30 20:00:00,1.3768,1.37846,1.3763,1.37775,3375.0,1.3771,3375
2024-04-30 21:00:00,1.37775,1.37775,1.37449,1.37732,1287.0,1.377,1287
2024-04-30 22:00:00,1.37601,1.378,1.37601,1.37775,2172.0,1.3777,2172
2024-04-30 23:00:00,1.37775,1.3782,1.3773,1.3777,2577.0,1.3777,2577
2024-05-01 00:00:00,1.37773,1.37827,1.3772,1.37787,3901.0,1.3778,3901
2024-05-01 01:00:00,1.37787,1.37802,1.3771,1.3776,3028.0,1.3776,3028
2024-05-01 02:00:00,1.37764,1.37804,1.3773,1.3775,2473.0,1.3777,2473
2024-05-01 03:00:00,1.37758,1.3782,1.3773,1.37788,2414.0,1.3778,2414
2024-05-01 04:00:00,1.37787,1.37787,1.37787,1.37787,3.0,1.3779,3
2024-05-01 05:00:00,1.37752,1.378,1.3773,1.37795,828.0,1.3778,828
2024-05-01 06:00:00,1.37794,1.37822,1.3772,1.378,3230.0,1.3778,3230
2024-05-01 07:00:00,1.37803,1.37809,1.3769,1.3771,3428.0,1.3776,3428
2024-05-01 08:00:00,1.37723,1.37756,1.3766,1.377,3290.0,1.3772,3290
2024-05-01 09:00:00,1.37718,1.3776,1.3767,1.37726,3531.0,1.3773,3531
2024-05-01 10:00:00,1.37727,1.3776,1.3768,1.377,3227.0,1.3773,3227
2024-05-01 11:00:00,1.37712,1.37731,1.3764,1.37707,3066.0,1.3769,3066
2024-05-01 12:00:00,1.37711,1.37712,1.37551,1.37616,6334.0,1.3763,6334
2024-05-01 13:00:00,1.37619,1.37673,1.3752,1.3755,6081.0,1.3761,6081
2024-05-01 14:00:00,1.37578,1.3774,1.37349,1.37668,9335.0,1.3763,9335
2024-05-01 15:00:00,1.37666,1.37705,1.3752,1.37602,5912.0,1.3762,5912
2024-05-01 16:00:00,1.37601,1.37679,1.3758,1.37668,5328.0,1.3763,5328
2024-05-01 17:00:00,1.37669,1.37736,1.3747,1.37668,4778.0,1.3766,4778
